Day,Hours,Category,Project,Sub Project,Timeline category
3/17/2024,1.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/17/2024,1.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/18/2024,1.25,2nd Draft,Raven,Planning,3 Raven 2nd
3/19/2024,0.75,2nd Draft,Raven,Planning,3 Raven 2nd
3/19/2024,1.25,2nd Draft,Raven,Planning,3 Raven 2nd
3/20/2024,2,2nd Draft,Raven,Planning,3 Raven 2nd
3/21/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
3/21/2024,0.25,2nd Draft,Raven,Planning,3 Raven 2nd
3/22/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
3/22/2024,2,2nd Draft,Raven,Planning,3 Raven 2nd
3/23/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
3/23/2024,2,2nd Draft,Raven,Planning,3 Raven 2nd
3/24/2024,2.75,2nd Draft,Raven,,3 Raven 2nd
3/25/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
3/26/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
3/27/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
3/27/2024,1,Querying,Raven,,3 Raven 2nd
3/28/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
3/29/2024,1,2nd Draft,Raven,,3 Raven 2nd
3/30/2024,2,2nd Draft,Raven,,3 Raven 2nd
3/31/2024,3.25,2nd Draft,Raven,,3 Raven 2nd
4/1/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
4/2/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
4/3/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
4/4/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/5/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
4/6/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/7/2024,3.5,2nd Draft,Raven,,3 Raven 2nd
4/8/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
4/9/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
4/10/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/11/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/12/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
4/13/2024,2.5,2nd Draft,Raven,,3 Raven 2nd
4/14/2024,3.5,2nd Draft,Raven,,3 Raven 2nd
4/15/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
4/16/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/17/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/18/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
4/19/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/20/2024,3.75,2nd Draft,Raven,,3 Raven 2nd
4/21/2024,2.25,2nd Draft,Raven,,3 Raven 2nd
4/22/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
4/23/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
4/24/2024,2,2nd Draft,Raven,,3 Raven 2nd
4/25/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
4/26/2024,1,2nd Draft,Raven,,3 Raven 2nd
4/27/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
4/28/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
4/29/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
4/30/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
5/1/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
5/2/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
5/3/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
5/4/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
5/5/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
5/6/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
5/7/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
5/8/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
5/9/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
5/10/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
5/11/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
5/12/2024,1,2nd Draft,Raven,,3 Raven 2nd
5/13/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
5/14/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
5/15/2024,2.25,2nd Draft,Raven,,3 Raven 2nd
5/16/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
5/17/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
5/18/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
5/19/2024,3.25,2nd Draft,Raven,,3 Raven 2nd
5/20/2024,5.5,2nd Draft,Raven,,3 Raven 2nd
5/21/2024,3.75,2nd Draft,Raven,,3 Raven 2nd
5/22/2024,8,2nd Draft,Raven,,3 Raven 2nd
5/23/2024,2.75,2nd Draft,Raven,,3 Raven 2nd
5/24/2024,2.75,2nd Draft,Raven,,3 Raven 2nd
5/25/2024,1,2nd Draft,Raven,,3 Raven 2nd
5/26/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
5/27/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
5/28/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
5/29/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
5/30/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
5/31/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
6/1/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
6/2/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
6/3/2024,1,2nd Draft,Raven,,3 Raven 2nd
6/4/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
6/5/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
6/6/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
6/7/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
6/8/2024,1,2nd Draft,Raven,,3 Raven 2nd
6/9/2024,1,2nd Draft,Raven,,3 Raven 2nd
6/10/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
6/11/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
6/12/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
6/13/2024,0.25,2nd Draft,Raven,Planning,3 Raven 2nd
6/14/2024,2,2nd Draft,Raven,Planning,3 Raven 2nd
6/15/2024,1.75,2nd Draft,Raven,Planning,3 Raven 2nd
6/16/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
6/16/2024,1.25,2nd Draft,Raven,Planning,3 Raven 2nd
6/19/2024,2.25,2nd Draft,Raven,,3 Raven 2nd
6/20/2024,1,2nd Draft,Raven,,3 Raven 2nd
6/21/2024,2.5,2nd Draft,Raven,,3 Raven 2nd
6/22/2024,1,2nd Draft,Raven,,3 Raven 2nd
6/23/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
6/24/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
6/25/2024,1,2nd Draft,Raven,,3 Raven 2nd
6/26/2024,2,2nd Draft,Raven,,3 Raven 2nd
6/27/2024,1,2nd Draft,Raven,,3 Raven 2nd
6/28/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
6/29/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
6/30/2024,2,2nd Draft,Raven,,3 Raven 2nd
7/1/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
7/2/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
7/3/2024,2.5,2nd Draft,Raven,,3 Raven 2nd
7/4/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
7/5/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
7/6/2024,2.5,2nd Draft,Raven,,3 Raven 2nd
7/7/2024,2,2nd Draft,Raven,,3 Raven 2nd
7/8/2024,2,2nd Draft,Raven,,3 Raven 2nd
7/9/2024,1,2nd Draft,Raven,,3 Raven 2nd
7/11/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
7/12/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
7/13/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
7/14/2024,1,2nd Draft,Raven,,3 Raven 2nd
7/15/2024,1,2nd Draft,Raven,,3 Raven 2nd
7/16/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
8/13/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
8/14/2024,2.25,2nd Draft,Raven,,3 Raven 2nd
8/15/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
8/16/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
8/17/2024,1,2nd Draft,Raven,,3 Raven 2nd
8/18/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
8/19/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
8/20/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
8/21/2024,1,2nd Draft,Raven,,3 Raven 2nd
8/22/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
8/24/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
8/25/2024,1,2nd Draft,Raven,,3 Raven 2nd
8/26/2024,1,2nd Draft,Raven,,3 Raven 2nd
8/27/2024,0.75,2nd Draft,Raven,Planning,3 Raven 2nd
8/28/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
8/28/2024,0.5,2nd Draft,Raven,Planning,3 Raven 2nd
8/30/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
8/31/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
9/1/2024,2.5,2nd Draft,Raven,,3 Raven 2nd
9/2/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
9/3/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
9/4/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
9/5/2024,1.75,2nd Draft,Raven,,3 Raven 2nd
9/6/2024,0.75,2nd Draft,Raven,Planning,3 Raven 2nd
9/7/2024,1.25,2nd Draft,Raven,,3 Raven 2nd
9/8/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
9/9/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
9/11/2024,2.25,2nd Draft,Raven,,3 Raven 2nd
9/12/2024,2,2nd Draft,Raven,,3 Raven 2nd
9/13/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
9/14/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
9/15/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
9/16/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
9/22/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
9/23/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
9/24/2024,0.25,2nd Draft,Raven,,3 Raven 2nd
9/25/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
9/26/2024,1.5,2nd Draft,Raven,,3 Raven 2nd
9/27/2024,1,2nd Draft,Raven,,3 Raven 2nd
9/28/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
9/29/2024,2,2nd Draft,Raven,,3 Raven 2nd
9/30/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
10/9/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
10/9/2024,1.75,2nd Draft,Raven,Planning,3 Raven 2nd
10/10/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
10/10/2024,0.25,2nd Draft,Raven,Planning,3 Raven 2nd
10/11/2024,1,2nd Draft,Raven,,3 Raven 2nd
10/12/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
10/13/2024,2,2nd Draft,Raven,,3 Raven 2nd
10/14/2024,0.75,2nd Draft,Raven,,3 Raven 2nd
10/15/2024,0.5,2nd Draft,Raven,,3 Raven 2nd
10/16/2024,2,2nd Draft,Raven,,3 Raven 2nd
