Day,Time,Hours,Category,Project,Sub Project
2/13/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/14/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/15/2024,N/A,0.75,3rd+ Draft,Sorceress,4th Draft - R&R
2/16/2024,N/A,1,3rd+ Draft,Sorceress,4th Draft - R&R
2/17/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/18/2024,N/A,3,3rd+ Draft,Sorceress,4th Draft - R&R
2/19/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/20/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/21/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/22/2024,N/A,0.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/23/2024,N/A,1.75,3rd+ Draft,Sorceress,4th Draft - R&R
2/24/2024,N/A,4.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/24/2024,N/A,0.25,Free Write,Warriors,Outlining
2/25/2024,N/A,0.25,Free Write,Warriors,1st draft attempt
2/25/2024,N/A,1,Free Write,Warriors,Outlining
2/26/2024,N/A,0.75,Free Write,Warriors,1st draft attempt
2/27/2024,N/A,1,Free Write,Misc,
2/27/2024,N/A,0.75,Free Write,Warriors,1st draft attempt
2/28/2024,N/A,0.75,Free Write,Warriors,1st draft attempt
2/29/2024,N/A,0.25,2nd Draft,Raven,Planning
2/29/2024,N/A,2,Free Write,Warriors,1st draft attempt
3/1/2024,N/A,0.5,2nd Draft,Raven,Planning
3/1/2024,N/A,0.5,Free Write,Warriors,1st draft attempt
3/2/2024,N/A,0.5,Free Write,Warriors,1st draft attempt
3/3/2024,N/A,1.75,2nd Draft,Raven,Planning
3/3/2024,N/A,0.5,Free Write,Warriors,1st draft attempt
3/3/2024,N/A,0.25,Querying,Sorceress,
3/4/2024,N/A,1.25,2nd Draft,Raven,Planning
3/5/2024,N/A,0.75,2nd Draft,Raven,Planning
3/6/2024,N/A,0.75,2nd Draft,Raven,Planning
3/7/2024,N/A,0.75,2nd Draft,Raven,Planning
3/8/2024,N/A,0.25,2nd Draft,Raven,Planning
3/8/2024,N/A,1,2nd Draft,Raven,Planning
3/9/2024,N/A,1.5,2nd Draft,Raven,Planning
3/9/2024,N/A,0.25,Free Write,Rachel,
3/10/2024,N/A,1.5,2nd Draft,Raven,Planning
3/11/2024,N/A,0.5,2nd Draft,Raven,Planning
3/12/2024,N/A,0.5,2nd Draft,Raven,Planning
3/13/2024,N/A,0.75,2nd Draft,Raven,Planning
3/13/2024,N/A,1.75,2nd Draft,Raven,Planning
3/14/2024,N/A,0.5,2nd Draft,Raven,Planning
3/15/2024,N/A,0.5,2nd Draft,Raven,Planning
3/16/2024,N/A,3,2nd Draft,Raven,Planning
3/17/2024,N/A,1.5,2nd Draft,Raven,Planning
3/17/2024,N/A,1.5,2nd Draft,Raven,Planning
3/18/2024,N/A,1.25,2nd Draft,Raven,Planning
3/19/2024,N/A,0.75,2nd Draft,Raven,Planning
3/19/2024,N/A,1.25,2nd Draft,Raven,Planning
3/20/2024,N/A,2,2nd Draft,Raven,Planning
3/21/2024,N/A,0.5,2nd Draft,Raven,
3/21/2024,N/A,0.25,2nd Draft,Raven,Planning
3/22/2024,N/A,0.5,2nd Draft,Raven,
3/22/2024,N/A,2,2nd Draft,Raven,Planning
3/22/2024,N/A,0.75,Free Write,Misc,
3/23/2024,N/A,1.75,2nd Draft,Raven,
3/23/2024,N/A,2,2nd Draft,Raven,Planning
3/24/2024,N/A,2.75,2nd Draft,Raven,
3/25/2024,N/A,1.5,2nd Draft,Raven,
3/26/2024,N/A,1.25,2nd Draft,Raven,
3/27/2024,N/A,1.5,2nd Draft,Raven,
3/27/2024,N/A,1,Querying,Raven,
3/28/2024,N/A,0.75,2nd Draft,Raven,
3/29/2024,N/A,1,2nd Draft,Raven,
3/30/2024,N/A,2,2nd Draft,Raven,
3/31/2024,N/A,3.25,2nd Draft,Raven,
4/1/2024,N/A,1.75,2nd Draft,Raven,
4/2/2024,N/A,1.75,2nd Draft,Raven,
4/3/2024,N/A,1.5,2nd Draft,Raven,
4/4/2024,N/A,1,2nd Draft,Raven,
4/5/2024,N/A,0.75,2nd Draft,Raven,
4/6/2024,N/A,1,2nd Draft,Raven,
4/7/2024,N/A,3.5,2nd Draft,Raven,
4/8/2024,N/A,0.75,2nd Draft,Raven,
4/9/2024,N/A,0.75,2nd Draft,Raven,
4/10/2024,N/A,1,2nd Draft,Raven,
4/11/2024,N/A,1,2nd Draft,Raven,
4/12/2024,N/A,0.5,2nd Draft,Raven,
4/13/2024,N/A,2.5,2nd Draft,Raven,
4/14/2024,N/A,3.5,2nd Draft,Raven,
4/15/2024,N/A,1.25,2nd Draft,Raven,
4/16/2024,N/A,1,2nd Draft,Raven,
4/17/2024,N/A,1,2nd Draft,Raven,
4/18/2024,N/A,0.5,2nd Draft,Raven,
4/19/2024,N/A,1,2nd Draft,Raven,
4/20/2024,N/A,3.75,2nd Draft,Raven,
4/21/2024,N/A,2.25,2nd Draft,Raven,
4/22/2024,N/A,1.25,2nd Draft,Raven,
4/23/2024,N/A,1.75,2nd Draft,Raven,
4/24/2024,N/A,2,2nd Draft,Raven,
4/25/2024,N/A,0.5,2nd Draft,Raven,
4/26/2024,N/A,1,2nd Draft,Raven,
